Account,date,daily_pnl,trade_count,avg_trade_size,win_count,loss_count,long_count,short_count,win_rate,long_short_ratio,classification
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,141,4338.219787234042,79,0,58,83,0.5602836879432624,0.7023809523809523,Fear
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,125,6480.62816,27,0,18,107,0.216,0.17592592592592593,Greed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,258,4563.756162790698,63,0,83,175,0.2441860465116279,0.4772727272727273,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,88,1136.3127272727272,0,0,88,0,0.0,89.0,Extreme Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,249,1759.9534939759035,237,0,3,246,0.9518072289156626,0.016194331983805668,Neutral
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,43,6742.71976744186,38,0,0,43,0.8837209302325582,0.022727272727272728,Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,671,2807.6623994038746,324,0,211,460,0.4828614008941878,0.4598698481561822,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,3711,494.23683912691996,1255,214,1738,1973,0.3381837779574239,0.8809523809523809,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,4629,541.9522812702527,1692,425,2270,2359,0.36552171095268954,0.9622881355932204,Fear
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,328,8444.161189024391,135,9,183,145,0.4115853658536585,1.2602739726027397,Greed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,3806,8998.349072517078,1885,48,1797,2009,0.4952706253284288,0.8945273631840795,Fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,730,6219.798493150685,224,39,357,373,0.30684931506849317,0.9572192513368984,Extreme Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,1309,10190.317929717341,434,63,706,603,0.3315508021390374,1.1705298013245033,Neutral
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,1703,19645.16682912507,559,77,960,743,0.3282442748091603,1.2916666666666667,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.370893,3737,20468.303636606903,1464,34,2107,1630,0.39175809472839174,1.2924586143470265,Fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,223,3261.5788789237668,0,0,223,0,0.0,224.0,Greed
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,5777,28304.44506318158,2401,280,2646,3131,0.4156136402977324,0.8451468710089399,Fear
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,250,525.47136,250,0,0,250,1.0,0.00398406374501992,Greed
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,572,891.0710664335664,154,5,346,226,0.2692307692307692,1.52863436123348,Fear
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,202,16311.138465346534,104,0,104,98,0.5148514851485149,1.0606060606060606,Greed
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,932,8098.078723175966,410,68,299,633,0.43991416309012876,0.47318611987381703,Fear
